51950
330652 947435 970316
184789 184774 170038
273 461 462
225 304 360
133 103 55
233 312 268
101 225 358
225 99 138
158 135 201
44 26 85
48 154 96
313 351 561
79 353 83
351 507 401
231 130 309
682736 2697783 1595315
306 199 273
44 82 20
226 197 300
666945 666959 639246
83 86 224
266 83 46
402 267 308
557 131 161
793478 674865 555574
701983 372243 49346
82 48 50
921290 920864 2194817
157 358 500
388495 884620 914944
304 461 571
162 401 400
305394 806367 806649
20 46 134
16 82 271
500 394 498
351 60 133
44 60 19
135 197 271
456 301 297
449 80 133
42 131 61
263 350 559
58 306 155
128 350 353
109 106 354
457 201 570
449 402 132
586575 45560 355476
271 157 198
310 160 308
45 48 225
157 87 136
725436 1218703 1218909
19 86 139
788855 301963 565561
118197 615537 323457
9 61 136
266 81 104
351 63 133
120878 960462 307724
105 45 84
313 506 268
302101 2006611 922825
85 136 199
230848 423528 165941
510 349 509
163 104 308
8 26 87
225 458 300
103 85 223
97 223 302
105 27 271
19 48 100
228571 381866 548560
224 360 277
22293 272500 406402
103 159 26
157 100 201
45 26 102
162 160 133
129 191 452
925426 904000 505603
653989 755653 490456
20 56 200
104 49 87
222 570 494
104 83 46
147319 872675 764865
371257 704675 704863
230 27 48
136 138 223
103 158 155
84 25 54
159 102 306
130 266 82
19 85 50
128 352 132
524096 1016284 737563
106 61 309
56 87 88
138 223 276
639012 93029 664481
271 358 275
771629 27559 33480
249264 885482 1346814
107 62 160
189 165 625
462 571 463
352 45 227
190 231 162
862108 253916 357070
785420 2878754 3966387
194 26 98
45 195 53
27 56 138
988350 459432 73858
330300 393862 393819
58 85 273
651481 651346 412922
63 163 80
160 59 103
307 46 196
349 268 354
84 272 358
199 154 395
7 49 100
157 359 204
159 270 136
21 47 54
457 301 279
27 196 153
197 154 153
19 269 223
213718 120605 784549
105 84 101
769650 918051 917985
46 84 157
43 105 160
226 273 223
83 196 57
192 401 354
42 267 105
397 153 363
376329 608890 706775
108 106 193
129 403 402
79 229 194
129 507 267
58 100 88
539752 480235 539717
505443 1270953 1270613
225 156 361
104 21 25
376722 744512 679903
29 194 59
857674 312124 857374
62 162 20
500 154 220
421946 479321 479356
100 89 223
158 272 302
303 361 497
395 277 278
272 137 156
133 58 89
266 106 230
80 103 58
306 303 201
304 154 220
46 98 274
104 45 195
229 44 158
165 313 128
107 61 82
488629 252079 873717
459 393 363
231 59 46
200 360 611
80 195 134
778697 308103 779251
481614 2673776 1832630
568 569 365
559 560 268
230 267 160
20 227 139
223 393 391
312 192 161
228295 395113 466000
56928 78595 56893
191 162 229
199 362 571
30 161 59
81 103 25
351 401 400
159 46 54
982230 748890 422043
162 44 159
18 5 24
108 192 60
749550 824119 84439
310 105 228
228 83 226
449 231 193
596008 262244 981548
